Timestamp,yos,faculty,campus,gender,bg,int,goal,service,review,review_class,goal_class,class,category_id
6/6/2019 11:39:35,U3,Engineering,Downtown Campus,Male,Mixed,No,Emotional support and advice,No,-,,talk to someone,talk to someone,
6/6/2019 12:07:22,U3,Science,Downtown Campus,Female,East Asian,No,Having someone to talk to,"McGill counselling services, online mental health chat sites","I only spoke with the counselor twice. She was very nice but I think she didn't fully understand my problems. As well, scheduling appointments was really difficult because when I needed their help - they weren't available.",,talk to someone,talk to someone,
6/6/2019 12:43:31,U3,Arts and Science ,Downtown Campus,Female,Japanese,No,Managing anxiety ,McGill counselling services ,"Negative; wait time was not too long (two weeks) but counsellor said I was ""healthy"" and ""should not come back to therapy"" ",,coping skills,coping skills,
6/6/2019 16:00:24,U2,Science,Downtown Campus,Female,Chinese,No,"Managing my mood, stress and social anxiety ","Yes, Psychiatric Services and Counselling","Pyschiatric services had a long wait to see a psychiatrist. When i finally saw one for the first time, i went in because i was feeling a little depressed and home sick. The psychiatrist didnt really help me and kind of just said go read this book about fighting the blues before it hits you. He didnt really try to understand why i was feeling sad, even though i knew it wasnt clinical depression. I just wanted some help, but he made me feel belitted and like i was wasting his time. The second time, i went to see a psychiatrist about social anxiety. This psychiatrist was a lot more understanding and patient and he really tried to gather all the details to understand my situation. Finally he referred me to counselling and i found a counsellor, whom ive been seeing for over a year and a half, and she is really great. She understands me very well and helps me with my social anxiety and mood. I am glad my experience with counselling has been good so far as i found the counsellor who is right for me. The only con would be that it usually takes 2-3 weeks to be able to book an appointment, so that is how frequent you would be able to see your counsellor. ",,"coping skills, social anxiety",coping skills,
6/6/2019 16:07:32,U3,Science,Downtown Campus,Female,Chinese,No,Seeking help for feeling blue,Counselling services,It was ok. she referred me to an anxiety/mood class which i only attended 1 of. i don’t think i enjoy group therapy. ,,depression,depression,
6/6/2019 16:19:20,U3,Arts,Downtown Campus,Female,East Asian,No,"developing healthy coping skills (e.g. mindfulness, breathing) understanding the nature of my mental health issues getting the correct medication needed problem-solving through discussion with another person to find the best solution to manage anxiety/depression","group therapy, psychiatric services, peer support","Group Therapy: it is a very good service to take to develop general coping skills. It's something that I have to take initiative for by ensuring I attend and deciding what skills to take home to practice, so it's more difficult for me to get myself to go or feel productive there. However, the group therapy itself was very helpful. I personally feel that one-on-one therapy is better. 

Psychiatric Services: The psychiatrist as an individual is very helpful and has been a key part of my mental health journey. I appreciate the work that the psychiatrist has done with me. The psychiatric services system and the secretarial services of that department, however, has been very disappointing. While it is somewhat understandable that the process to see a psychiatrist may be a long and difficult process, the approach that the representatives use in explaining its difficulties is pretty abysmal. When I was first seeking psychiatric services, they immediately turned me away by stating that ""the waitlist is 5 months long"" and suggested no alternatives or next steps. The second time I sought their services, I had a hospital note at hand but they required a referral. I had been misinformed by the hospital of what I needed to get psychiatric help. Instead of guiding me to how I should request that a referral from my doctor, the secretary said ""we don't take this"" and gave no guidance or next steps. If it had not been for a community social worker who guided me along the way I would probably still not be receiving any psych services. The social worker had to go out of their way to call the hospital then McGill Psychiatric Services to get me an appointment. It shouldn't take these steps to get the help someone needs. I never recommend psychiatric services to my peers in need because my case was very different and I wouldn't know how to even get an appointment with them. It is difficult to feel that the psychiatric department is interested in helping when the frontline representatives don't behave that way.

Peer support: They are so easily accessible and available. They respectfully disclose that no one is a licensed counsellor or therapist. I think this service is perfect for someone who needs to give themselves advice the way they would advise a friend. These volunteers are clearly well-trained and show that they care. The person who worked with me was a great listener and guided me very well with the right questions. In the end, I felt like I had someone who listened to me, I had come up with some plan for my mental health and also felt like I had somewhat come to these solutions myself. Peer support aims not to tell you what to do, but rather ask the right questions to guide you to the right answer. It feels good to have someone help you along the way so that anxious thoughts don't muddle the right answer. I recommend peer support to my friends all the time because of their accessibility and helpfulness. ",,"coping skills, medication, talk to someone",medication,
6/6/2019 17:16:00,U2,Arts,Downtown Campus,Female,Chinese ,No,Having a schedule to follow so I don't lag behind and get stressed when things aren't completed. Taking it easy on myself when things dont go as planned. Not being afraid to say that I want to go home and take the time to rest. ,No , —-,,"coping skills, academic",academic,
6/6/2019 19:47:13,U3,Science,Downtown Campus,Male,White,No,Managing stress anxiety in a way so that it does not interfere with school and social life. Taking the time for self-care and knowing when I'm doing too much or need to take a break.,No,N/A,,"coping skills, academic",academic,
6/6/2019 22:01:04,U2,AgEnv Sci,Downtown Campus,Prefer not to say,Mixed East Asian/American,Yes,Managing anxiety ,No,N/A,,coping skills,coping skills,
6/7/2019 14:57:04,U4+,Arts,Downtown Campus,Female,"Jewish, American",Yes,"Managing stress, emotions, and body image issues","Yes, McGill counseling","Alright. The counselor was nice enough and she listened to me but I didn't feel like everything would get fixed. But I don't want to switch counselors, I'm worried it would take too long and I might not even like the person I switch to. I also don't quite know what my options are outside of McGill as an international student. Additionally, they are overbooked so I frequently have anywhere between 1-2.5 months between appointments",,"coping skills, body image",body image,
